Location,TotalCases,NewCases,TotalDeath,TotalRecovered,ActiveCases,Serious/Critical,Population
USA,"91,942,744","+100,711","1,051,235","87,107,075","3,784,434","4,501",
India,"43,847,065","+21,880","525,930","43,171,653","149,482",698,"1,407,791,774"
Brazil,"33,506,282","+51,988","676,551","31,846,441","983,290","8,318","215,653,799"
France,"33,339,350","+80,869","151,237","31,057,821","2,130,292",869,"65,569,260"
Germany,"30,131,303",,"142,948","28,114,300","1,874,055","1,325","84,332,524"
UK,"23,212,565",,"182,727","22,437,189","592,649",146,"68,616,286"
Italy,"20,467,349","+80,653","170,527","18,841,001","1,455,821",410,"60,279,812"
S. Korea,"19,009,080","+71,109","24,794","18,364,834","619,452",107,"51,359,526"
Russia,"18,511,120","+6,391","382,039","17,924,372","204,709","2,300","146,062,583"
Turkey,"15,524,071",,"99,184","15,221,506","203,381",975,"86,197,768"
Spain,"13,132,159",,"109,642","12,453,757","568,760",339,"46,791,856"
Vietnam,"10,764,986","+1,292","43,091","9,837,645","884,250",31,"99,132,274"
Japan,"10,604,679","+135,239","31,697","9,732,623","840,359",189,"125,683,870"
Argentina,"9,465,827",,"129,202","9,245,728","90,897",393,"46,045,152"
Australia,"8,967,138","+54,989","10,968","8,546,889","409,281",162,"26,105,850"
Netherlands,"8,301,277","+4,500","22,450","8,114,825","164,002",50,"17,212,504"
Iran,"7,304,550","+7,915","141,593","7,071,005","91,952",728,"86,194,829"
Mexico,"6,523,019","+34,661","326,764","5,597,744","598,511","4,798","131,707,128"
Colombia,"6,247,634","+3,449","140,603","6,053,853","53,178",342,"51,993,654"
Indonesia,"6,154,494","+5,410","156,880","5,960,833","36,781","2,771","279,447,364"
Poland,"6,041,891","+2,999","116,492","5,335,797","589,602","1,157","37,761,748"
Portugal,"5,312,553","+5,412","24,513","5,082,292","205,748",61,"10,135,846"
Ukraine,"5,020,181",,"108,690","4,909,008","2,483",177,"43,195,994"
DPRK,"4,772,290",+170,74,"4,771,860",356,,"26,010,164"
Austria,"4,658,125","+14,070","18,987","4,510,463","128,675",80,"9,111,635"
Malaysia,"4,640,235","+4,587","35,888","4,556,938","47,409",63,"33,215,327"
Thailand,"4,568,461","+2,607","31,076","4,513,943","23,442","1,496","70,158,616"
Israel,"4,537,907","+6,217","11,209","4,457,705","68,993",310,"9,326,000"
Belgium,"4,368,611",,"32,089","4,165,256","171,266",114,"11,692,911"
Taiwan,"4,362,227","+25,171","8,392","3,794,711","559,124",,"23,905,041"
Greece,"4,210,771",,"30,707","3,614,441","565,623",115,"10,318,843"
Chile,"4,161,478","+9,003","59,216","3,846,961","255,301",174,"19,452,264"
Canada,"4,012,359",,"43,583","3,695,850","272,926",195,"38,419,880"
South Africa,"4,001,816",+372,"101,942","3,893,872","6,002",192,"60,840,210"
Czechia,"3,961,570","+2,757","40,370","3,902,985","18,215",27,"10,749,661"
Switzerland,"3,893,084",,"14,024","3,691,121","187,939",54,"8,784,242"
Peru,"3,801,893","+14,006","213,918","3,448,791","139,184",161,"33,912,567"
Philippines,"3,741,987","+2,828","60,641","3,659,139","22,207",560,"112,568,274"
Denmark,"3,049,890","+1,683","6,581","3,019,084","24,225",14,"5,833,970"
Romania,"2,988,788","+7,129","65,839","2,861,350","61,599",155,"18,975,038"
Sweden,"2,533,978",,"19,216","2,495,909","18,853",14,"10,228,229"
Iraq,"2,421,716","+3,997","25,280","2,360,420","36,016",24,"42,071,080"
Serbia,"2,072,089","+4,249","16,193","2,015,735","40,161",19,"8,665,330"
Bangladesh,"2,000,279",+884,"29,256","1,931,494","39,529","1,228","168,049,768"
Hungary,"1,951,079",,"46,736","1,883,085","21,258",17,"9,610,135"
Slovakia,"1,809,403","+1,016","20,188","1,778,871","10,344",26,"5,465,057"
Jordan,"1,700,526",,"14,068","1,685,354","1,104",124,"10,410,584"
Georgia,"1,667,453",,"16,847","1,637,293","13,313",,"3,973,491"
Singapore,"1,636,109","+9,749","1,466","1,528,441","106,202",15,"5,944,571"
Ireland,"1,628,745",,"7,537","1,569,062","52,146",42,"5,050,752"
Pakistan,"1,548,394",+599,"30,455","1,507,935","10,004",170,"229,676,994"
New Zealand,"1,540,509","+10,323","1,868","1,472,149","66,492",,"5,002,100"
Norway,"1,453,985",+271,"3,596","1,445,611","4,778",20,"5,508,057"
Kazakhstan,"1,323,710","+1,216","13,664","1,297,761","12,285",24,"19,236,704"
Hong Kong,"1,309,208","+4,375","9,448","1,212,363","87,397",5,"7,621,546"
Morocco,"1,255,681","+1,131","16,204","1,228,339","11,138",293,"37,806,598"
Bulgaria,"1,192,284","+1,640","37,319","1,138,566","16,399",41,"6,841,397"
Croatia,"1,173,374","+1,793","16,188","1,146,221","10,965",15,"4,053,451"
Finland,"1,171,034",,"5,012","1,128,585","37,437",21,"5,558,344"
Lebanon,"1,150,424","+2,843","10,499","1,087,587","52,338",186,"6,762,880"
Tunisia,"1,114,370",,"28,942",N/A,N/A,29,"12,071,898"
Cuba,"1,107,100",+95,"8,529","1,098,175",396,23,"11,312,462"
Lithuania,"1,077,461",+850,"9,194","1,038,300","29,967",8,"2,644,585"
Slovenia,"1,067,317","+1,828","6,673","1,039,799","20,845",16,"2,079,523"
Guatemala,"1,004,311","+6,331","18,881","910,145","75,285",5,"18,594,330"
Belarus,"994,037",,"7,118","985,592","1,327",,"9,442,959"
Bolivia,"985,630","+5,892","21,999","910,049","53,582",220,"11,999,143"
Nepal,"982,719",+317,"11,954","968,228","2,537",,"30,210,139"
UAE,"978,966","+1,388","2,329","958,728","17,909",,"10,135,147"
Uruguay,"967,808",,"7,387","958,402","2,019",18,"3,498,382"
Ecuador,"946,487","+3,203","35,786","879,898","30,803",759,"18,191,766"
Panama,"942,083",,"8,395","922,313","11,375",16,"4,453,881"
Mongolia,"934,357","+1,116","2,179",N/A,N/A,192,"3,386,417"
Costa Rica,"904,934",,"8,525","860,711","35,698",52,"5,189,387"
Latvia,"851,433","+1,631","5,879","833,382","12,172",1,"1,843,529"
Saudi Arabia,"806,401",+522,"9,236","789,766","7,399",139,"35,924,323"
Azerbaijan,"795,495",+305,"9,729","784,356","1,410",,"10,326,345"
Paraguay,"688,820",,"19,083","647,415","22,322",6,"7,311,980"
Sri Lanka,"664,704",+57,"16,535","647,466",703,,"21,597,105"
Bahrain,"653,447",+920,"1,506","642,249","9,692",19,"1,822,710"
Kuwait,"648,216",,"2,556","641,752","3,908",6,"4,399,926"
Dominican Republic,"624,167",,"4,383","616,402","3,382",23,"11,070,706"
Myanmar,"613,887",+16,"19,434","592,774","1,679",,"55,156,791"
Palestine,"592,699",,"5,360","582,977","4,362",17,"5,344,293"
Estonia,"584,178",,"2,612","524,225","57,341",6,"1,328,362"
Cyprus,"545,896",,"1,086","124,370","420,440",60,"1,225,359"
Venezuela,"531,657",+563,"5,753","522,054","3,850",36,"28,271,005"
Moldova,"520,321",,"11,567","504,142","4,612",49,"4,014,770"
Egypt,"515,645",,"24,613","442,182","48,850",122,"106,287,529"
Libya,"502,642",,"6,431","490,973","5,238",101,"7,062,664"
Ethiopia,"491,508",+99,"7,564","468,421","15,523",41,"120,795,782"
Honduras,"434,796",+482,"10,930","132,498","291,368",105,"10,227,249"
Réunion,"429,237",,825,"418,572","9,840",10,"908,397"
Armenia,"424,400",,"8,629","412,661","3,110",,"2,974,584"
Qatar,"399,553",+995,680,"390,408","8,465",2,"2,807,805"
Oman,"393,002",,"4,260","384,669","4,073",2,"5,372,617"
Bosnia and Herzegovina,"382,382",+400,"15,825",N/A,N/A,,"3,239,052"
Kenya,"337,085",+80,"5,670","330,261","1,154",3,"56,197,120"
Zambia,"328,550",,"4,013","323,022","1,515",4,"19,438,407"
Botswana,"325,181",+340,"2,763","321,815",603,1,"2,448,875"
North Macedonia,"321,386",+788,"9,349","308,199","3,838",,"2,083,199"
Albania,"301,394","+1,336","3,521","288,047","9,826",,"2,871,364"
Luxembourg,"274,524",,"1,102","259,768","13,654",,"646,836"
Algeria,"266,654",+63,"6,875","178,911","80,868",6,"45,472,827"
Nigeria,"259,720",+235,"3,146","253,074","3,500",11,"216,603,542"
Zimbabwe,"256,217",+17,"5,570","250,112",535,12,"15,306,064"
Montenegro,"250,173",+869,"2,736","242,410","5,027",6,"628,229"
Uzbekistan,"242,502",+65,"1,637","239,417","1,448",23,"34,462,672"
Mozambique,"229,252",+92,"2,215","226,593",444,11,"33,048,848"
China,"228,180",+200,"5,226","221,339","1,615",,"1,439,323,776"
Martinique,"211,836",,"1,005",104,"210,727",8,"374,669"
Laos,"210,676",+38,757,N/A,N/A,,"7,491,793"
Kyrgyzstan,"201,329",,"2,991","196,406","1,932",131,"6,744,654"
Iceland,"200,397",,179,N/A,N/A,2,"345,778"
Brunei,"191,774","+1,871",225,"164,116","27,433",,"446,058"
Afghanistan,"184,224",+150,"7,738","165,875","10,611","1,124","40,723,919"
Maldives,"183,908",,307,"163,687","19,914",25,"560,043"
El Salvador,"180,970",,"4,184","165,895","10,891",8,"6,553,226"
Guadeloupe,"179,285",,960,"2,250","176,075",19,"400,264"
Trinidad and Tobago,"169,805",+224,"4,041","159,640","6,124",18,"1,408,768"
Namibia,"169,253",,"4,065","164,813",375,,"2,635,151"
Uganda,"168,887",+42,"3,627","100,420","64,840",5,"48,699,504"
Ghana,"167,215",,"1,456","165,153",606,2,"32,401,368"
Jamaica,"145,157",+160,"3,176","92,784","49,197",,"2,987,634"
Cambodia,"136,532",+20,"3,056","133,352",124,,"17,192,867"
Rwanda,"131,970",+20,"1,466","45,522","84,982",,"13,609,789"
Cameroon,"120,068",,"1,931","117,791",346,13,"27,899,197"
Malta,"111,833",+204,780,"105,872","5,181",4,"443,951"
Angola,"102,209",,"1,912","97,149","3,148",,"34,960,117"
DRC,"91,928",,"1,390","50,930","39,608",,"95,137,901"
French Guiana,"91,812",+891,404,"11,254","80,154",1,"314,538"
Barbados,"88,965",+400,480,"86,475","2,010",,"288,095"
Malawi,"87,156",+51,"2,656","83,596",904,67,"20,142,356"
Channel Islands,"87,142",+738,186,"85,175","1,781",,"177,145"
Senegal,"86,938",+47,"1,968","84,725",245,,"17,647,609"
Ivory Coast,"84,845",+103,808,"83,680",357,,"27,716,073"
Suriname,"80,949",,"1,379","49,595","29,975",,"597,397"
French Polynesia,"74,305",,649,N/A,N/A,7,"284,233"
Eswatini,"73,247",,"1,417","71,802",28,11,"1,184,766"
Guyana,"69,252",+80,"1,268","67,081",903,,"794,324"
New Caledonia,"67,999",,314,"65,708","1,977",9,"291,119"
Fiji,"67,191",+216,870,"64,941","1,380",,"909,748"
Belize,"66,546",+108,680,"65,242",624,6,"412,412"
Madagascar,"66,289",,"1,406","64,277",606,6,"29,148,984"
Sudan,"62,914",,"4,955",N/A,N/A,,"45,946,099"
Mauritania,"62,185",+77,989,"60,042","1,154",,"4,899,965"
Cabo Verde,"62,017",+23,409,"61,410",198,23,"568,355"
